state,account_length,area_code,phone_number,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,class
27,110,415,2600.0,0,0,0,190.0,95,32.0,210.0,105,18.0,220.0,110,10.0,12.0,5,3.0,1,0
12,45,408,1500.0,0,1,5,120.0,60,20.0,140.0,80,15.0,160.0,80,8.0,9.0,3,2.0,0,0
45,200,510,4000.0,1,0,30,300.0,140,45.0,320.0,140,25.0,330.0,150,15.0,18.0,12,4.0,2,1
5,20,415,800.0,0,0,0,70.0,30,10.0,80.0,50,10.0,90.0,40,5.0,6.0,2,1.0,3,0
38,150,408,3500.0,0,1,20,250.0,120,35.0,280.0,120,22.0,280.0,130,12.0,15.0,8,3.5,4,0
23,90,510,1800.0,0,0,0,160.0,70,25.0,190.0,90,17.0,210.0,100,9.0,11.0,4,2.5,5,0
50,220,415,4800.0,1,1,40,330.0,150,50.0,340.0,150,28.0,360.0,160,16.0,18.0,15,5.0,6,1
15,60,408,1200.0,0,0,2,110.0,55,18.0,130.0,70,13.0,140.0,70,7.0,8.0,3,1.5,7,0
30,140,510,2600.0,0,1,10,200.0,90,28.0,240.0,110,20.0,250.0,120,11.0,13.0,6,2.8,8,0
8,25,415,700.0,0,0,0,80.0,35,12.0,90.0,55,12.0,100.0,45,6.0,7.0,2,1.0,9,0
42,170,408,3800.0,0,1,25,280.0,130,40.0,310.0,130,24.0,320.0,140,13.0,16.0,9,4.2,1,1
19,80,510,1900.0,0,0,0,170.0,75,27.0,200.0,95,18.0,220.0,110,9.0,12.0,5,2.7,0,0
33,130,415,2700.0,0,1,15,210.0,100,30.0,260.0,115,21.0,270.0,125,12.0,14.0,7,3.2,2,0
4,10,408,500.0,0,0,0,50.0,20,8.0,60.0,40,9.0,70.0,30,4.0,5.0,1,0.5,3,0
47,210,510,4600.0,1,1,35,310.0,140,48.0,330.0,140,27.0,340.0,155,15.0,17.0,13,4.8,4,1
14,55,415,1400.0,0,0,3,130.0,60,22.0,150.0,75,14.0,140.0,80,8.0,9.0,4,1.8,5,0
36,160,408,3100.0,0,1,20,240.0,110,34.0,290.0,125,23.0,300.0,135,13.0,15.0,8,3.5,6,0
2,5,510,300.0,0,0,0,30.0,10,5.0,30.0,35,5.0,20.0,10,2.0,3.0,1,0.2,7,0
41,190,415,4200.0,0,1,28,290.0,125,42.0,310.0,135,26.0,330.0,145,14.0,16.0,11,4.5,8,1
18,70,408,1700.0,0,0,4,140.0,70,24.0,170.0,85,16.0,170.0,90,9.0,10.0,5,2.3,9,0
29,120,510,2800.0,0,1,12,210.0,95,29.0,250.0,110,19.0,260.0,115,11.0,13.0,6,3.0,1,0
7,15,415,600.0,0,0,0,70.0,30,10.0,80.0,55,12.0,90.0,45,6.0,7.0,2,1.0,0,0
44,190,408,4300.0,0,1,30,320.0,140,48.0,330.0,140,27.0,350.0,155,15.0,18.0,13,5.0,2,1
13,40,510,1300.0,0,0,1,120.0,55,20.0,140.0,75,14.0,140.0,80,8.0,9.0,4,1.9,3,0
35,140,415,3100.0,0,1,18,230.0,110,32.0,280.0,120,22.0,300.0,130,12.0,15.0,8,3.3,4,0
1,3,408,200.0,0,0,0,40.0,15,6.0,50.0,40,6.0,30.0,15,3.0,4.0,1,0.3,5,0
48,220,510,4700.0,1,1,32,330.0,145,49.0,340.0,145,28.0,360.0,160,16.0,18.0,14,5.0,6,1
20,90,415,1900.0,0,0,5,160.0,70,26.0,190.0,90,17.0,210.0,100,9.0,11.0,5,2.6,7,0
